id,titulo,texto,apa,vinculo,tags,img
1,Ilustración e identidad local,"El eje central de la propuesta discursiva de Quilombo Ediciones está ligado a la ilustración y a la identidad local. Este artículo presenta los hitos que impulsaron la creación de dicho proyecto editorial, destacando, además del interés por rescatar los valores colectivos nacionales, la búsqueda estética y la experimentación material. Se presentan cinco libros editados entre 2009 y 2012: La Negra Ester, ilustrada (2009), Piernal de cueca chora (2009), Cosmogonías, mitos chilenos sobre el origen del mundo (2012), Colección Leporello (2012) y Editado en Chile, 1889-2004 (2012).","ROJAS, C. (2013). Ediciones Quilombo Ilustración e identidad local . REVISTA DISEÑA, 5",http://www.revistadisena.com/ediciones-quilombo-ilustracion-e-identidad-local/,"Books, edición, editing, emprendimiento, entrepreneurship, equipment, equipo, formatos especiales, graphic heritage, ilustración, Libros, patrimonio gráfico, special formats",https://jessydfaundez.github.io/Prueba-24-04/img/1.jpg
2,El Patrimonio cultural como opción turística,"El sistema turístico obliga a tener en cuenta tanto a la sociedad local, como a los visitantes, por lo que todos los estudios deben ir dirigidos a buscar el bienestar de ambos, tratando de minimizar los impactos negativos, ya sean sociales, culturales, físicos o económicos. En cuanto al patrimonio antropológico, puede afirmarse que la única manera de comprender su realidad es acercándose a él para observarlo como producto de la sociedad en permanente estado de cambio, al mismo tiempo que se descifra la interrelación de todos sus componentes. Es necesario interpretar al ser humano en el medio en el que se ha desarrollado y sigue haciéndolo. Sólo de esta forma estaremos en capacidad de planificar una serie de acciones vinculadas al uso del patrimonio con fines turísticos, sin perjudicar el normal desarrollo de la comunidad que lo ha originado.","Alfonso, María José Pastor. (2003). El patrimonio cultural como opción turística. Horizontes Antropológicos, 9(20), 97-115.",https://dx.doi.org/10.1590/S0104-71832003000200006,"cambio cultural, ecología humana, patrimonio cultural, turismo cultural", http://portal.andina.com.pe/EDPfotografia2/Thumbnail/2008/01/18/000052070W.jpg
3,Turismo Comunitario: una nueva alternativa de desarrollo indígena,"El cordón montañoso de Los Andes presenta una gran diversidad de ecosistemas entre ellos encontramos ""El Altiplano o Puna"" por sus características geográficas y ambientales, es una región natural única en América del Sur, abarca el norte de Chile, parte de Bolivia, el centro y sur del Perú y el noroeste de Argentina. Es una planicie a más de 3.000 metros sobre el nivel del mar. Además, tiene una larga historia de ocupación. Esta población se encuentra mayoritariamente distribuida en pequeños poblados o asentamientos con intensos sistemas agroproductivos de autosubsistencia, pero con grandes restricciones climática y geomorfológicas. Ello se contrasta con la pristinidad y exotismo de los numerosos atractivos naturales de la zona, entre los que se encuentran salares, lagunas, quebradas, volcanes y fauna autóctona, como flamenco, llamo y vicuña, por otro lado, el origen prehispánico de la arquitectura monumental y restos arqueológicos, han determinado la conformación de una intensa actividad turística de orden internacional, que hoy caracteriza a la zona y que impacta la vida de las poblaciones autóctonas.","Morales Morgado, H. (2008).Turismo comunitario: una nueva alternativa de desarrollo indígena.",http://www.repositorio.uchile.cl/handle/2250/121833,"Etnicidad, desarrollo, ruralidad, etnodesarrollo", https://turismoruralusulutan.files.wordpress.com/2013/01/san_francisco_javier.jpg
4,Guía para el turismo cultural de la ciudad de Valparaíso: rescate gráfico de la identidad bohemio y cultural del sector patrimonial de la ciudad.,"El proyecto desarrollara una propuesta de comunicación visual basada en la identidad de Valparaíso, para reflejar parte de la rica cultura y bohemia de esta ciudad, identificando los códigos visuales que den cuenta de la cultura bohemia y cultural propia de Valparaíso. Se transmitirá mediante un sistema de comunicación visual, parte de la identidad de Valparaíso. Así se lograra un objeto afectivo para los turistas.","Lechuga Gallardo, A. (2007).Guía para el turismo cultural de la ciudad de Valparaíso : rescate gráfico de la identidad bohemio y cultural del sector patrimonial de la ciudad.",http://www.repositorio.uchile.cl/handle/2250/101028,"turismo cultura, rescate gráfico, identidad", https://jessydfaundez.github.io/Prueba-24-04/img/2.jpg
5,"Estrategia de divulgación turística en plataforma web, abordada desde los principios web 2.0 y periodismo ciudadano.","Reciente gestión y aprovechamiento de los medios digitales de comunicación Web en Internet por parte de los agentes responsables de la difusión de contenidos de interés turístico, repercutiendo esto directamente en calidad de información suministrada por estos y en la experiencia de los usuarios para con el medio digital.","Aguirre Osorio, C. (2006).Estrategia de divulgación turística en plataforma web, abordada desde los principios web 2.0 y periodismo ciudadano",http://repositorio.uchile.cl/handle/2250/100947,"Turismo, divulgación, plataforma web", http://www.estudio-creativo.com/web/wp-content/uploads/2012/01/noticia21.jpg
6,Nuevos turistas en busca de un nuevo producto: el patrimonio cultural,"La actividad turística experimenta cambios. En la actualidad los turistas demandan naturaleza y cultura, no sólo sol y playa. Nuevos turistas y por tanto nuevos productos turísticos, aparecen en escena. Analizar algunas de las consecuencias asociadas con la proliferación del turismo cultural es el objetivo de este articulo.","De la Rosa, M. (2003). Nuevos turistas en busca de un nuevo producto: el patrimonio cultural. Pasos. Revista de Turismo y Cultura, 1(2), 157-159.",http://www.pasosonline.org/Publicados/1203/PS030603.pdf,"Cultura, patrimonio, turismo cultural.", http://cdn.plataformaurbana.cl/wp-content/uploads/2012/02/1328124177_24735187.jpg
7,Gestión turística del patrimonio cultural: enfoques para un desarrollo sostenible del turismo cultural,"La gestión turística del patrimonio cultural es la aplicación de conocimientos específicos para la adecuación de bienes de patrimonio cultural en recursos turísticos. El punto de partida es, en razón de los bienes de los que estamos hablando, la conservación de los mismos y la preservación del espíritu que representan. Pero esto ha de ser combinado con el hecho de que el patrimonio vive una creciente presión para ser adaptado a un uso turístico, hecho relacionado con el progresivo aumento del turismo cultural. La utilización de algunos instrumentos básicos permitirá que los procesos de interacción entre el sector turístico y el sector del patrimonio cultural permitan, no solo encontrar el equilibrio entre ambos, sino mejorar el rendimiento de los dos sectores.","González, M. V. (2009). Gestión turística del patrimonio cultural: enfoques para un desarrollo sostenible del turismo cultural. Cuadernos de turismo, (23), 237-254.",http://revistas.um.es/turismo/article/view/70121,"Turismo, gestión del Patrimonio Cultura, gestión turística, planificación", http://postgrados.uandes.cl/wp-content/uploads/2016/04/Depositphotos_66927437_original.jpg
8,"Patrimonio cultural y turismo emergente. Villa Guillermina, de pueblo obrero a nuevo destino turístico. Un estudio de caso","En los últimos años, la provincia de Santa Fe ha impulsado una política destinada a la creación de nuevos destinos turísticos, con el propósito de contribuir al desarrollo de las economías locales. Villa Guillermina, situada en la Cuña Boscosa santafesina, al norte de la provincia, integra el circuito ""Camino del Tanino-Pueblos Forestales"". La construcción del destino turístico, se basa en la apropiación del patrimonio histórico cultural de las poblaciones forestales, surgidas a inicio del siglo XX por la actividad foresto - industrial.  En este artículo, presento un análisis sobre explotación turística en ámbitos periféricos, caracterizados por un entorno rural y sin antecedentes turísticos. Examino cómo se produce la activación del patrimonio con fines turísticos a nivel local, y planteo el rol del Estado en la actividad turística como factor de desarrollo.","Brac, Marcela. (2011). Patrimonio cultural y turismo emergente: Villa Guillermina, de pueblo obrero a nuevo destino turístico. Un estudio de caso. Cuadernos de antropología social, (33), 111-128. ",www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-275X2011000100006&lng=es&tlng=es.,"Santa Fe, Pueblos forestales, Patrimonio cultural, Turismo, Políticas públicas", http://image.posta.com.mx/sites/default/files/valparaiso.jpg
9,Turismo: la reestructuración cultural,"El turismo históricamente siempre ha sido un fenómeno social relacionado con la cultura, pues a menudo ha contribuido a su reestructuración. Sus impactos han sido positivos y negativos y por ello ha sido tan polémico su desarrollo en los diferentes países donde ha tenido mayor presencia. La función protectora y socializadora de la cultura ha sido importante en el desarrollo turístico desde hace siglos e incluso en el presente con mayor razón. La única manera de generar políticas sobre el turismo cultural es realizando primero las investigaciones de base para conocer bien los impactos y decidir en consecuencia. ","Ascanio, A. (2003). Turismo: la reestructuración cultural. Pasos, Revista de Turismo y Patrimonio Cultural, 1(1), 33-37.",http://www.pasosonline.org/Publicados/1103/PASOS01.pdf#page=43,"Turismo cultural, Impactos del turismo, Políticas sobre el turismo cultural, Reestructuración de la cultura ", http://miviajeporchile.cl/wp-content/uploads/2016/09/Santiago-panorama.jpg
10,Patrimonio cultural y turismo: nuevos modelos de promoción vía Internet,"Desde Estambul a Barcelona, de Almería a Niza, de Venecia a Túnez, de Atenas a Alejandría, de la India a la China, el mundo ofrece una actividad cultural rica y muy variada. Los turistas que lo recorren desean impregnarse de ella. Parece como si el sector turístico no haya sido capaz de organizarse y desarrollar un proyecto común de turismo cultural que hermane todas estas posibilidades. Quizá en un futuro, con el uso de las nuevas tecnologías se puedan proponer viajes virtuales por el patrimonio cultural del mediterráneo como preámbulo y estimulo de posibles viajes reales.","Espelt, N. G., Fernández, J. M., & Casellas, D. V. (2000). Patrimonio cultural y turismo: nuevos modelos de promoción vía Internet. Cuadernos de turismo, (6), 73-88.",http://revistas.um.es/turismo/article/view/22631,"Patrimonio cultural, turismo cultural, turismo virtual, tecnologías de la información y las comunicaciones, Internet", http://cdn.plataformaurbana.cl/wp-content/uploads/2012/10/1351455151_tpm_6130.jpg
